chat_id,Conversation,Category
101,hi!thanks for contacting us. I am Amazon's chathelper,HELP
101,How do I login by  my email id,HELP
101,Are you a registered user,HELP
101,Then create an Amazon account,HELP
101,"okay, how to do that?",HELP
101,"Go Accounts & Lists, there you will find the sign option",HELP
101,okay. I cannot find Accounts & Lists,HELP
101,You will find it besides the search box,HELP
101,"Okay, Got it!",HELP
101,Did we solve your problem? ,HELP
101,"Yes,thankyou",HELP
102,hi!thanks for contacting us. I am Amazon's chathelper,HELP
102,How do track where my package is?,HELP
102,Please Go to Customer Service Option,HELP
102,Okay. But I am not able to find it,HELP
102,Please Go to Menu-> Help & Settings,HELP
102,"Okay,Got it. Now what are the next steps?",HELP
102,Click on Your Orders and enter your account details,HELP
102,"Okay,Got it.Thanks",HELP
102,Did we solve your problem? ,HELP
102,"Yes,thankyou",HELP
103,hi!thanks for contacting us. I am Amazon's chathelper,COMPLAINT
103,I ordered Geo Organic Black Raisins. But you delivered Dates instead. What should I do?,COMPLAINT
103,Sorry for the inconviencence caused. Do you want to replace or return item?,COMPLAINT
103,"Yes, I want to replace it.",COMPLAINT
103,Please provide us your order no,COMPLAINT
103,408-0889190-7023552,COMPLAINT
103,Sorry this account is not returnable,COMPLAINT
103,"Okay,then what should I do?",COMPLAINT
103,You can select call me or continue shopping,COMPLAINT
103,"Okay, I will call.",COMPLAINT
103,You will be receiving a call from our customer care soon,COMPLAINT
103,Okay,COMPLAINT
104,hi!thanks for contacting us. I am Amazon's chathelper,COMPLAINT
104,"hello, I had ordered Philips earphones with mic. But one of the earbuds is not working properly. What to do?",COMPLAINT
104,Please enter the details of the product,COMPLAINT
104,Philips SHE1505BK/94 Upbeat earphones,COMPLAINT
104,Please provide us your order no,COMPLAINT
104,409-0889180-7123553,COMPLAINT
104,Do you want to return the item or replace the item?,COMPLAINT
104,I want to replace the item,COMPLAINT
104,Please Go to Your orders and select the appropriate item and select the return and replace item option,COMPLAINT
104,The option has been disabled,COMPLAINT
104,"Okay , then sorry sir but the item is no longer illegible for return",COMPLAINT
104,I would like to contact you,COMPLAINT
104,You will receieving a call from our customer care soon,COMPLAINT
104,Okay,COMPLAINT
105,hi!thanks for contacting us. I am Amazon's chathelper,HELP
105,I am trying to pay through my credit card but it is proecssing for two minutes and then nothing is happening,HELP
105,Please see to it that you have entered the correct card details,HELP
105,"Yes, I have rechecked the details but still failure in payment",HELP
105,Please check whether you have an active netwok connection,HELP
105,"Yes, I have full network connectivity",HELP
105,Please close the current tab and follow the payment process steps again,HELP
105,"Okay, I did as you said but still failure",HELP
105,How would you like to contact us,HELP
105,Call me now,HELP
105,You will be receiving a call from our customer care soon,HELP
105,"Okay,Thanks",HELP
106,hi!thanks for contacting us. I am Amazon's chathelper,HELP
106,I have made a transcation through my credit card and have received a message from the bank that the amount has been deducted,HELP
106,"Okay,please ellaborate your problem",HELP
106,"However, the order has not been placed yet. What should I do?",HELP
106,Can you please try to refresh the current page,HELP
106,"Yes, tried doing that but still order not placed",HELP
106,Can you please verify the registered mobile no with your account,HELP
106,"Yes, the mobile no has been successfully verified",HELP
106,Okay. Please write an email describing the issue to 3s-reply@amazon.in,HELP
106,"Okay, But when will the money be refunded?",HELP
106,"In this case, after verification is successfully done, the refund will be received within 7-10 business days",HELP
106,"Okay,Thanks",HELP
107,hi!thanks for contacting us. I am Amazon's chathelper,HELP
107,I have 350 rs of Amazon Paybalance. But payment through that option is disabled. ,HELP
107,Please inform your total order amount,HELP
107,My total order amount is 400 rs,HELP
107,"Sorry, minimum total order amount to use Amazon Paybalance should be 500rs and above",HELP
107,Okay. Thanks,HELP
108,hi!thanks for contacting us. I am Amazon's chathelper,HELP
108,I want to send the Image of damaged delivered product.Please provide the email address,HELP
108,Please write an email to 3s-reply@amazon.in,HELP
108,I tried sending the email but its giving failure to send,HELP
108,Do you have your email address registered to your Amazon account?,HELP
108,No. How to do that?,HELP
108,Please Go to Your Account->Login & Security->Edit email address option,HELP
108,Okay. Thanks,HELP
108,Did we solve your problem? ,HELP
108,Yes,HELP
109,hi!thanks for contacting us. I am Amazon's chathelper,COMPLAINT
109,I had ordered Shaun Womens sweater of size small.,COMPLAINT
109,Okay. How may I help you?,COMPLAINT
109,But the product that was delivered to me is in size medium. What should I do?,COMPLAINT
109,Do you want to return the item or replace the item?,COMPLAINT
109,I would like to replace the item,COMPLAINT
109,Please Go Your Orders->Select the item-> Click on replace item option,COMPLAINT
109,Okay. Thanks,COMPLAINT
109,Did we solve your problem? ,COMPLAINT
109,Yes,COMPLAINT
110,hi!thanks for contacting us. I am Amazon's chathelper,HELP
110,I want to order Cello Jotdot Ball pen but the Buy Now option is disabled,HELP
110,"Sorry , in this case the product may be out of stock",HELP
110,Okay. What should I do?,HELP
110,You can select the Add to wishlist option,HELP
110,Okay. How long will it take for the product to be back in stock?,HELP
110,Okay. Thanks,HELP
110,Did we solve your problem? ,HELP
110,Yes,HELP
111,hi!thanks for contacting us. I am Amazon's chathelper,HELP
111,I want to order Post-it color notes. ,HELP
111,Okay. How may I help you?,HELP
111,But the cash on delivery option is disabled,HELP
111,Please inform your total order amount,HELP
111,My total order amount is 45 rs,HELP
111,"Sorry, cash on delivery is applicable to orders above 150 rs",HELP
111,"Okay ,Thanks",HELP
111,Did we solve your problem? ,HELP
111,Yes,HELP
112,hi!thanks for contacting us. I am Amazon's chathelper,HELP
112,I had placed an order but the missed the delivery. Whom should I contact?,HELP
112,Please Go to Let us help you section->Select the help option,HELP
112,I am unable to find the Let us help you section,HELP
112,It is present at the buttom of the page,HELP
112,"Okay ,Got it. What to do next?",HELP
112,There will be a list of courier service and their contact numbers,HELP
112,Okay I want to contact to the delivery guy,HELP
112,Please check for the message or email address mentioning the contact number of the delivery person,HELP
112,"Okay, but they got deleted by mistake by me",HELP
112,How would you like us to contact you?,HELP
112,Call me now,HELP
112,Okay.You will be receiving a call from our customer service soon,HELP
112,"Okay,Thanks",HELP
113,hi!thanks for contacting us. I am Amazon's chathelper,COMPLAINT
